1053;1072;459;1161
1022;1122;141;1233
840;944;9;1122
1079;1175;1105;1199
1104;1105;1175;1199
1112;970;1222;1275
286;1031;1151;1154
563;1076;558;1134
717;1048;668;1230
944;1122;840;1165
459;1053;1093;1117
1047;1194;1100;1203
816;982;13;956
488;1068;1094;1120
1215;1112;1222;1275
1103;1150;1226;1296
862;1121;19;1220
13;816;1093;982
1047;1100;562;1203
13;816;956;949
981;964;1156;1173
1226;1150;1103;1208
485;1029;1018;1277
558;1076;1223;1134
1143;1157;1052;1242
1079;1105;1175;1283
816;13;1093;949
858;956;1179;1254
177;1025;921;1262
365;345;575;1193
141;831;10;1022
1048;1088;668;1230
1150;974;1226;1296
1122;1115;481;1152
562;1100;1194;1203
178;921;177;1025
459;1093;487;1117
178;921;1025;1245
189;1019;1130;1205
290;1019;189;1205
559;1270;1047;1203
452;944;453;1122
831;1022;141;1233
795;756;468;1117
1104;1105;1199;1295
668;1048;717;1228
893;1204;979;1212
1063;1118;1052;1284
1063;1052;1219;1284
1232;1050;1062;1280
1192;1065;674;997
1103;1226;1004;1296
1160;943;186;1262
1182;1104;1118;1199
1062;1050;1232;964
452;944;1122;1152
1162;1030;1227;972
1051;1162;1227;972
572;1245;1025;1262
1019;1205;290;1218
502;1194;562;1100
1051;1227;1030;972
485;1018;1020;1277
247;1122;1022;1233
1104;1199;1182;1295
17;32;1069;1056
1079;1199;1105;1295
1156;964;981;1179
1025;1245;921;1262
674;632;1192;997
287;1016;235;1228
1062;1232;1150;964
468;795;1117;1274
10;1022;831;1233
502;562;1194;1203
974;1004;1226;1296
481;1122;274;1115
9;1122;944;1152
154;1121;862;1220
459;1072;419;1161
719;964;1156;1179
810;1211;1146;1169
1061;1180;1235;1131
345;1214;553;1193
810;1005;1211;1169
1077;1192;997;1244
858;1179;956;1246
1068;1043;1094;972
1094;1068;388;1298
1223;1230;1088;1166
786;1156;1235;976
853;1172;1062;1186
164;1085;886;1119
165;1018;1029;1277
1059;1096;1076;1243
674;1192;1196;1065
820;1004;974;1296
1227;1030;29;994
459;1162;1053;1117
705;1048;717;999
319;970;1112;1275
234;286;1151;1154
9;963;830;1122
830;963;141;1122
1225;950;1061;1021
1050;1150;1232;964
606;1096;598;1264
1050;964;981;1173
319;1112;1215;1275
387;1035;1102;1272
669;1230;1223;1243
439;946;1279;1293
1067;1209;1139;1247
1051;1094;1043;972
29;994;1030;1109
1235;1156;786;1173
598;1096;606;1076
1183;1139;1067;1209
1092;1096;1059;1121
1059;1076;1223;1243
249;1231;199;1026
1225;1183;1216;962
1069;1056;32;1021
1063;1118;1284;1206
459;399;487;1093
572;1142;1025;1245
1052;1236;1014;1188
1227;1030;1162;1293
1061;1021;950;1202
668;1088;1048;1228
1079;1049;1175;1199
1047;1193;562;1100
606;1076;1096;1264
178;1025;1142;1245
1094;1037;488;1120
141;840;1122;1165
1183;1209;1216;962
302;1282;1047;1269
468;446;795;1274
574;943;1160;1262
974;1004;820;1278
1096;545;1220;1114
705;717;654;999
180;29;1279;1293
14;1072;29;1221
485;491;1029;1277
1135;1251;285;1074
979;1204;232;1212
1077;997;1097;1244
32;17;1069;1242
186;1250;1160;1262
17;885;156;1119
602;1256;1034;1026
28;1205;1019;1218
1059;1124;1006;971
1067;995;961;1177
1020;1018;165;1277
1059;1096;1092;1076
1063;1284;1219;1206
661;1016;1149;989
1219;1236;1052;1188
1094;1068;422;1261
353;1105;1195;993
1097;1149;1077;980
963;1122;9;1115
1079;1049;1199;1181
1266;1279;29;1293
256;1130;189;1019
1192;1077;997;999
1163;960;1149;989
243;1016;661;989
893;1273;1204;1212
29;1072;1227;1221
559;1047;562;1203
290;1205;257;1218
1223;1076;1055;1134
510;1047;1270;1269
470;1270;576;1203
1151;259;1154;1078
1225;1021;1061;1045
1030;972;1162;1293
189;257;290;1205
987;996;1055;1001
470;576;953;1203
257;1205;892;1218
702;1102;1035;1042
817;1146;810;1211
319;1215;362;1275
1058;1215;1222;1275
164;886;1085;1002
1031;1154;286;1108
1059;1196;1096;1243
1182;1095;1158;976
1095;1235;1061;1156
574;1160;1250;1262
320;1068;1094;1261
198;1122;963;1115
19;1121;1096;1220
995;1107;961;1177
488;398;1068;1120
154;1092;861;1121
332;1195;1105;1043
899;1157;1143;1242
26;199;1231;1026
1182;1158;1235;976
1086;1154;259;1078
1006;971;1124;1244
858;1179;152;1254
575;345;553;1193
32;1056;17;1257
1061;1202;1110;1045
661;701;1149;1016
167;1256;1276;1026
1182;1235;1095;976
147;14;29;1221
705;717;1048;1228
1183;1003;1139;1209
669;1223;1088;1260
1034;1256;167;1026
399;459;419;1161
414;1162;972;1293
309;1214;345;1193
545;598;1096;1220
452;453;405;1122
1139;1209;1003;1247
204;247;1022;1233
1050;1232;1150;974
1156;981;1061;1271
32;1069;1110;1014
1097;1077;983;980
20;1085;886;1002
628;960;1163;989
786;1181;1235;1173
194;1151;286;1031
742;964;1126;1060
665;1004;619;1163
291;1112;1219;1206
1191;1016;1048;1228
439;1030;946;1293
387;1035;347;1102
1096;1133;641;1125
1127;1124;971;1244
1061;1021;1202;1045
152;1062;853;1172
1096;1196;1059;1121
188;932;187;1127
493;488;1037;1120
739;1117;795;1274
1123;1105;1195;1008
183;957;914;1164
1053;982;1095;1253
1216;1183;1225;1021
1032;1163;1149;989
18;861;154;1092
1097;997;1077;960
1227;1162;1051;1008
1151;1130;259;1078
1110;1202;1021;1045
1104;1105;1195;1043
981;964;1062;1179
1073;1211;1005;1169
503;1076;563;1268
1222;970;1112;966
1079;1175;1049;975
1061;1235;1180;1173
1180;1173;791;1169
545;1096;598;1076
345;553;1214;973
719;784;964;1179
871;1009;869;1288
1096;1076;545;1114
1048;996;235;1228
1003;1247;1209;1208
452;1122;405;1152
1051;1030;1227;994
384;308;1043;1289
553;1214;518;1193
914;957;184;1164
702;662;1035;1102
1136;987;929;967
669;1088;668;1260
468;411;446;1274
428;468;756;1117
503;558;563;1076
1195;1105;1104;1008
498;957;1164;1081
674;656;632;997
1070;1009;1143;1236
174;1052;1242;1248
485;1020;500;1277
1059;1127;1124;971
828;1005;810;1169
1063;1052;1118;1014
1146;1211;1073;1169
385;345;309;1214
1226;974;1150;1208
1104;1284;1118;1206
470;953;1270;1203
1061;1099;1271;1045
28;1019;170;1218
204;1022;247;1122
453;1122;944;1165
235;1016;1191;1228
656;674;1065;997
1219;1144;21;1200
1099;994;1227;1071
164;20;886;1002
1059;1136;1028;1166
17;1124;175;1257
1223;1076;1096;1243
355;1089;1047;1282
899;1052;1157;1242
175;153;17;1143
153;175;176;1143
414;972;1030;1293
291;1219;1112;966
468;1117;411;1274
1143;1157;898;1013
1182;1008;1104;1295
154;862;19;1220
498;1164;490;1081
737;817;810;1211
1095;1156;1061;1271
184;1164;957;1081
180;1030;29;1293
795;739;756;1117
1225;1061;950;1280
562;1047;559;1270
449;404;456;1037
1061;1271;981;1045
662;347;1035;1102
1104;1199;1175;1206
1139;995;1067;1247
861;1121;1092;1116
1149;1286;1077;980
484;1162;414;1293
997;999;1077;960
1086;259;1130;1078
221;285;1251;1074
1035;1102;24;1042
174;994;1052;1248
620;1145;1036;969
1209;1247;1097;1208
419;1162;484;1293
24;1102;1035;1272
285;1135;987;1251
1070;1054;1143;1009
871;162;1009;1288
678;711;1145;1259
188;187;1216;1127
221;1135;285;1074
232;1204;1273;1212
1276;1026;560;1057
1105;1008;1123;1147
1124;1127;1059;1294
861;1092;18;1116
978;1004;1103;1163
32;1069;1014;1242
892;257;1218;1212
1195;1043;308;1289
701;999;1149;1016
735;820;1004;1278
388;320;1094;1261
1127;1059;1294;967
156;1056;1069;1119
26;1273;199;1249
637;1125;1196;1243
32;1110;1069;1021
1219;1144;1052;1236
257;979;892;1205
13;956;857;949
899;1157;1052;994
17;175;1124;1116
680;654;632;1192
603;986;1038;1290
1063;1069;1012;1292
404;456;1037;1270
14;836;1072;1221
385;345;1214;973
774;795;446;1274
666;1036;620;1145
1141;1037;456;1270
1225;950;1021;1280
791;1146;1180;1169
1067;1139;1183;961
739;1117;1274;958
419;1072;1162;1293
1059;1092;1121;1294
1079;1181;1199;1237
1235;1131;1180;1181
853;1186;1062;981
387;1102;311;1272
995;997;1067;1247
1008;1147;1105;1295
1126;964;742;1179
932;1127;188;1257
632;1192;654;1230
1182;1235;1158;1295
1051;1043;1094;1168
1235;1199;1131;1181
319;1112;970;966
1227;1162;1072;1293
1059;1028;1136;967
860;17;1124;1116
17;156;1069;1119
470;953;413;1270
1151;1031;12;1172
518;1193;1214;1234
1061;1235;1095;1239
1104;1008;1105;1295
735;1004;820;1296
1151;1031;1066;1154
320;388;1094;1068
744;791;1173;1169
143;1172;850;1263
524;1245;572;1262
849;850;1172;1263
1048;1191;235;996
790;1126;742;1179
1118;1199;1063;1239
771;242;1031;1101
1053;1158;1095;982
167;1034;924;1256
174;1052;899;1242
860;1124;17;952
1194;1100;502;1234
1164;1255;490;1081
1059;1127;971;967
32;1014;1110;1248
1131;1199;1049;1181
188;1225;1021;1257
1219;1052;1144;1128
17;1056;1124;1257
810;1146;817;1169
188;1127;1216;1257
411;1093;446;1274
862;19;1121;1125
488;406;493;1037
892;979;257;1212
862;155;19;1125
1092;1136;186;1294
411;1117;1093;1274
628;1163;1032;989
862;1121;155;1125
1050;1062;981;964
1059;1223;1076;1166
247;963;198;1122
1058;1222;1215;1291
444;481;1115;1152
184;1255;1164;1081
17;1014;1069;1242
319;362;1215;1112
348;1089;355;1282
545;598;606;1076
555;608;1135;1074
17;1069;156;1056
235;1191;1048;1228
1099;1248;994;1071
1144;1200;1219;1075
148;1072;836;1221
670;991;707;1178
619;1004;978;1163
1055;996;1134;1001
15;188;1140;1045
1067;1056;1183;1209
899;1052;174;994
19;1096;1121;1125
1232;1209;1183;962
332;1195;353;1105
309;385;1214;1129
1059;1223;1166;1243
410;972;1195;1289
280;1191;1130;1019
648;969;1036;1132
756;1167;1117;958
1232;974;1050;1003
1059;1196;1192;1006
252;996;987;1001
287;235;203;1228
1196;1230;637;1243
1183;1056;1216;1209
308;1044;1195;1289
1072;458;1138;1266
719;766;784;1179
1099;1118;1227;994
29;14;147;936
488;422;1094;1068
1223;1076;606;1264
1094;1168;1043;1298
404;1270;1037;1282
1227;1118;1099;1083
21;966;1219;1200
1096;1133;598;1264
899;904;1157;994
510;1047;562;1270
312;1043;1104;1207
613;668;669;1230
384;1043;1068;1289
29;1227;173;1221
156;860;17;952
21;1236;1219;1188
1105;1147;1123;1295
790;764;742;1126
1088;1230;1048;1166
1225;1280;1183;962
145;838;16;1271
1061;1156;1235;1173
998;1286;1077;1033
1051;1118;994;1008
563;520;599;1268
1070;1144;1009;1236
1219;966;358;1200
169;929;987;967
27;1136;185;1268
826;956;816;949
143;1151;12;1172
1232;1183;1280;962
1097;1077;1149;960
593;1135;608;1074
1175;975;1079;1283
1070;1236;1143;1128
1059;971;1028;967
654;1230;1192;999
1235;1023;1158;1295
355;1047;1089;1193
183;184;914;957
502;559;562;1203
357;1104;1206;1207
518;553;594;1214
740;1181;786;1173
1049;1079;975;1181
21;1144;1219;1236
302;355;1047;1282
1048;999;705;1228
562;1047;510;1269
1061;1131;1235;1239
353;292;1105;993
756;1117;739;958
146;981;1271;1045
1066;990;1084;1060
289;1251;1034;1074
1073;1145;1187;1259
411;487;446;1093
487;1093;411;1117
302;1047;355;1269
1086;1130;259;1286
15;1140;1225;1045
620;1036;666;969
146;1271;837;1071
382;1200;1011;1075
575;553;518;1193
232;211;979;1212
16;853;152;1062
1073;1187;1145;1210
360;1104;312;1043
365;309;345;1193
1150;974;1232;1208
416;1072;458;1138
1130;1019;28;1205
203;235;996;1228
194;234;286;1151
481;274;238;1115
748;1031;1126;1101
1192;1065;1067;1006
186;1136;931;1294
1192;1196;1059;1230
987;996;261;1019
1067;995;1139;961
1044;1167;402;1267
148;1072;1221;1253
1059;1230;1196;1243
1227;994;1118;1008
1182;1118;1104;1008
1059;1121;1124;1294
764;742;1126;1060
475;1044;402;1267
309;1214;1193;1129
572;1025;548;1262
787;976;982;1246
679;1096;641;1125
654;1192;680;999
332;353;292;1105
1095;1061;1239;1271
1215;1170;293;1275
