382;302;461
337;382;461
318;353;380
354;319;381
353;296;380
295;354;381
292;463;491
463;292;518
361;225;551
356;305;404
296;353;398
354;295;397
335;288;399
289;336;400
77;78;375
27;28;376
225;11;551
222;398;527
397;227;528
386;287;416
312;359;373
360;313;374
312;368;376
369;313;375
368;315;376
314;369;375
353;318;441
319;354;442
350;306;422
307;351;423
288;335;419
336;289;420
225;361;442
370;314;377
315;371;378
415;300;429
301;414;430
411;71;427
34;410;428
290;336;443
335;291;444
316;370;377
371;317;378
375;78;452
27;376;451
336;290;414
291;335;415
358;285;396
386;416;477
398;353;527
354;397;528
366;348;494
349;367;495
339;48;408
57;340;409
366;494;540
495;367;541
290;350;422
351;291;423
65;66;362
39;40;363
55;356;425
355;50;424
521;347;526
59;364;506
365;46;507
304;339;408
340;305;409
58;59;506
46;47;507
305;356;479
355;304;480
347;385;526
48;339;507
340;57;506
356;404;543
305;340;421
339;304;426
362;66;394
39;363;395
372;303;525
303;372;524
351;307;449
306;350;448
303;392;525
393;303;524
348;497;508
496;349;509
311;350;443
351;310;444
222;221;398
228;227;397
350;290;443
291;351;444
305;379;404
348;366;552
367;349;553
304;358;396
323;411;427
410;322;428
348;390;497
391;349;496
418;61;487
44;417;486
390;288;419
289;391;420
350;311;431
310;351;432
531;302;555
404;294;543
302;382;555
217;216;368
233;232;369
383;326;401
313;360;516
359;312;517
235;234;370
215;214;371
431;10;448
12;432;449
350;431;448
432;351;449
10;218;373
231;12;374
304;355;467
300;415;544
414;301;545
353;441;527
442;354;528
396;285;520
358;294;404
390;419;485
420;391;484
60;61;418
44;45;417
26;378;469
377;79;468
355;294;467
494;297;540
298;495;541
414;322;430
323;415;429
294;355;523
380;296;509
295;381;508
364;308;447
409;305;479
304;408;480
342;380;509
381;341;508
338;463;518
50;355;480
356;55;479
296;398;496
397;295;497
297;388;540
389;298;541
300;362;548
363;301;549
404;379;476
321;363;440
362;320;439
363;40;440
65;362;439
338;396;520
24;25;413
80;81;412
442;361;555
294;358;467
401;326;503
54;55;425
50;51;424
25;26;469
79;80;468
82;83;392
22;23;393
497;295;508
296;496;509
75;360;456
359;30;455
285;358;476
68;4;453
36;2;454
4;69;453
2;37;454
9;236;383
213;9;384
299;521;526
358;304;467
314;375;452
376;315;451
388;343;540
344;389;541
446;313;516
312;445;517
301;363;473
362;300;472
463;332;491
66;67;394
38;39;395
9;383;401
360;75;516
30;359;517
407;229;470
220;406;471
379;333;519
285;379;519
82;392;474
393;23;475
416;337;447
320;362;472
363;321;473
217;368;433
369;232;434
233;369;435
368;216;436
370;234;435
215;371;436
235;370;437
371;214;438
413;25;469
80;412;468
220;219;406
230;229;407
383;437;501
438;384;502
308;364;465
365;309;464
374;313;434
312;373;433
368;312;433
313;369;434
373;218;433
231;374;434
303;393;462
70;71;411
34;35;410
393;327;462
314;370;435
371;315;436
437;316;501
317;438;502
369;314;435
315;368;436
386;341;529
342;387;530
287;386;529
387;286;530
447;337;550
370;316;437
317;371;438
309;365;450
79;377;452
378;26;451
423;291;459
290;422;460
346;423;459
422;345;460
319;442;555
388;297;505
298;389;504
364;59;465
46;365;464
77;375;446
376;28;445
417;331;486
330;418;487
327;384;462
362;394;548
395;363;549
392;326;474
327;393;475
385;347;560
318;385;560
10;373;448
374;12;449
373;359;532
360;374;533
390;348;552
349;391;553
288;390;552
391;289;553
383;236;437
213;384;438
56;57;409
48;49;408
329;407;470
406;328;471
379;305;421
31;32;402
73;74;403
321;482;547
481;320;546
329;397;497
398;328;496
403;307;423
306;402;422
47;48;507
57;58;506
312;376;445
375;313;446
321;440;482
439;320;481
322;410;430
411;323;429
346;403;423
402;345;422
410;324;430
325;411;429
315;378;451
377;314;452
330;388;505
389;331;504
316;377;468
378;317;469
455;306;532
307;456;533
405;309;450
33;34;428
71;72;427
309;405;542
318;380;457
78;79;452
26;27;451
361;531;555
304;396;426
415;335;544
336;414;545
402;306;455
307;403;456
364;447;490
407;310;432
311;406;431
381;319;458
416;308;477
419;335;444
336;420;443
333;379;492
333;492;550
379;285;476
380;342;530
341;381;529
462;384;537
478;309;542
76;77;446
28;29;445
382;337;536
52;3;483
3;53;483
406;219;431
230;407;432
341;386;556
387;342;557
421;340;490
385;318;457
419;310;485
311;420;484
359;455;532
456;360;533
62;388;487
389;43;486
384;9;537
293;421;490
